step_id,group,target_effect,placebo_own_effect,placebo_legacy_effect,did_semantic_effect,legacy_semantic_effect
prm-bf49cda9c1b58b99,rating-1_anchor,0.33333333333333337,0.0,0.33333333333333337,0.33333333333333337,0.0
prm-f17b27e710e8f147,rating-1_anchor,0.0,0.0,0.0,0.0,0.0
prm-cea36bdf052fa8d6,rating-1_anchor,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666
prm-8115590161527562,rating-1_anchor,0.0,-0.3333333333333333,0.0,0.3333333333333333,0.0
prm-2e89a40cec48c042,rating-1_anchor,1.0,0.0,0.0,1.0,1.0
prm-2a5b9be75f2130c8,rating-1_anchor,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333
prm-1ef2f094b18fa4d5,rating-1_anchor,0.33333333333333337,0.0,-0.6666666666666666,0.33333333333333337,1.0
prm-ac1b5da6715754b0,rating-1_anchor,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666
prm-02dc733a400c8a44,rating-1_anchor,0.0,0.3333333333333333,0.0,-0.3333333333333333,0.0
prm-911d5b9b5b289e39,rating-1_anchor,0.0,0.0,0.0,0.0,0.0
prm-c502b3dc0f88dfaf,rating-1_anchor,0.0,-0.3333333333333333,-0.6666666666666666,0.3333333333333333,0.6666666666666666
prm-e57bd8bedd80b00d,rating-1_anchor,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.0,0.0
prm-ce7da7c55243f250,rating-1_anchor,0.0,0.0,0.0,0.0,0.0
prm-bf052d7ceb54371a,rating-1_anchor,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333
prm-52ebf116b73ecf1a,rating-1_anchor,0.0,0.0,0.0,0.0,0.0
prm-17fa230838c04542,rating-1_anchor,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.0,0.0
prm-bcf33e68e625980e,rating-1_anchor,0.0,0.0,0.0,0.0,0.0
prm-9eb976f5fba8a1ea,rating-1_anchor,0.0,0.0,0.0,0.0,0.0
prm-70a8ec8eb124a0b7,rating-1_anchor,0.6666666666666666,0.0,0.0,0.6666666666666666,0.6666666666666666
