"task","annotation_order","annotation_id","label","confidence_1to5","notes"
"m3","1","m3-53495073","essential","4",""
"m3","2","m3-38957032","essential","4",""
"m3","3","m3-55926286","redundant","3",""
"m3","4","m3-05014159","harmful","4",""
"m3","5","m3-06030082","essential","3",""
"m3","6","m3-06343547","essential","4",""
"m3","7","m3-68739303","harmful","5",""
"m3","8","m3-93262030","essential","3",""
"m3","9","m3-33137072","harmful","4",""
"m3","10","m3-79583483","uncertain","1","没看懂不好意思..."
"m3","11","m3-30698648","essential","3",""
"m3","12","m3-31791341","essential","4",""
"m3","13","m3-83304000","redundant","2",""
"m3","14","m3-27558474","essential","2",""
"m3","15","m3-93353167","essential","4",""
"m3","16","m3-90368667","harmful","1","应该往小的试缩小范围 试了个大的没有用 能算冗余吗？还是算错误？"
"m3","17","m3-17715991","essential","4",""
"m3","18","m3-60353562","harmful","5",""
"m3","19","m3-96573387","harmful","5",""
"m3","20","m3-78502885","redundant","4",""
"m3","21","m3-74608373","redundant","4",""
"m3","22","m3-78454026","redundant","3",""
"m3","23","m3-58003193","essential","4",""
"m3","24","m3-05783843","redundant","4",""
"m3","25","m3-26808855","harmful","4",""
"m3","26","m3-92040222","essential","4",""
"m3","27","m3-11067103","redundant","4",""
"m3","28","m3-96204032","harmful","4",""
"m3","29","m3-63162453","redundant","4",""
"m3","30","m3-00434638","harmful","4","上一步出错 这一步沿错误方向发展"
"m3","31","m3-54935115","harmful","4","D=6"
"m3","32","m3-69161960","harmful","4",""
"m3","33","m3-21428768","essential","4",""
"m3","34","m3-05048413","essential","4",""
"m3","35","m3-45892105","essential","4",""
"m3","36","m3-27712787","essential","4",""
"m3","37","m3-24214329","harmful","4",""
"m3","38","m3-00094750","harmful","4",""
"m3","39","m3-21310748","essential","4",""
"m3","40","m3-17092488","essential","4",""
"m3","41","m3-19881551","harmful","5",""
"m3","42","m3-78863581","harmful","5",""
"m3","43","m3-17521268","essential","4",""
"m3","44","m3-96930186","redundant","3",""
"m3","45","m3-37934856","redundant","1","感觉这个思路好混乱(晕
偶数项之和是偶数项之和的相反数感觉很废话...
如果最后一项是偶数项就是偶数项项数的相反数（?是想表达这个吗）"
"m3","46","m3-16812358","essential","4",""
"m3","47","m3-67439192","essential","4",""
"m3","48","m3-41777444","essential","4",""
"m3","49","m3-61008088","redundant","3","纠结essential"
"m3","50","m3-07390848","essential","2",""
"m3","51","m3-90638245","harmful","4",""
"m3","52","m3-63223857","harmful","5",""
"m3","53","m3-20051685","harmful","5","103"
"m3","54","m3-51147449","essential","4",""
"m3","55","m3-42836635","redundant","4",""
"m3","56","m3-36955383","essential","3",""
"m3","57","m3-53725564","essential","4",""
"m3","58","m3-31897902","redundant","3",""
"m3","59","m3-17233129","harmful","2",""
"m3","60","m3-10992257","redundant","4",""
"m4_fidelity","1","m4f-55395388","faithful","4",""
"m4_fidelity","2","m4f-17689294","faithful","4",""
"m4_fidelity","3","m4f-83026209","faithful","4",""
"m4_fidelity","4","m4f-76311451","minor_deviation","4",""
"m4_fidelity","5","m4f-10849605","faithful","5",""
"m4_fidelity","6","m4f-45445158","faithful","5",""
"m4_fidelity","7","m4f-29087382","faithful","4",""
"m4_fidelity","8","m4f-29502509","faithful","5",""
"m4_fidelity","9","m4f-45590014","faithful","5",""
"m4_fidelity","10","m4f-09876537","faithful","5",""
"m4_fidelity","11","m4f-76246283","faithful","5",""
"m4_fidelity","12","m4f-73533298","faithful","5",""
"m4_fidelity","13","m4f-70617463","faithful","5",""
"m4_fidelity","14","m4f-93330067","faithful","5",""
"m4_fidelity","15","m4f-06314814","faithful","5",""
"m4_fidelity","16","m4f-62032071","faithful","5",""
"m4_fidelity","17","m4f-09213936","faithful","5",""
"m4_fidelity","18","m4f-71274569","faithful","5",""
"m4_fidelity","19","m4f-69398299","faithful","4",""
"m4_fidelity","20","m4f-67801640","faithful","4",""
"m4_fidelity","21","m4f-13001665","faithful","5",""
"m4_fidelity","22","m4f-25011736","faithful","5",""
"m4_fidelity","23","m4f-44749640","faithful","4",""
"m4_fidelity","24","m4f-25349446","faithful","4",""
"m4_fidelity","25","m4f-43678061","minor_deviation","3","补充了4/3是200/150化简而来（？）"
"m4_fidelity","26","m4f-19833344","faithful","5",""
"m4_fidelity","27","m4f-22662329","faithful","4",""
"m4_fidelity","28","m4f-60473730","faithful","4",""
"m4_fidelity","29","m4f-91730738","faithful","3",""
"m4_fidelity","30","m4f-87411763","faithful","4",""
"m4_fidelity","31","m4f-40210784","minor_deviation","3",""
"m4_fidelity","32","m4f-37979041","faithful","4",""
"m4_fidelity","33","m4f-05662230","faithful","4",""
"m4_fidelity","34","m4f-86603568","faithful","4",""
"m4_fidelity","35","m4f-17115034","faithful","3",""
