"task","annotation_order","annotation_id","label","confidence_1to5","notes"
"m3","1","m3-00094750","harmful","5",""
"m3","2","m3-78454026","essential","5",""
"m3","3","m3-83304000","essential","4",""
"m3","4","m3-06343547","essential","4","用于排除x的一种情况？"
"m3","5","m3-74608373","redundant","5",""
"m3","6","m3-55926286","essential","5",""
"m3","7","m3-31791341","essential","5",""
"m3","8","m3-68739303","essential","5",""
"m3","9","m3-79583483","essential","5",""
"m3","10","m3-54935115","harmful","5",""
"m3","11","m3-26808855","essential","5",""
"m3","12","m3-37934856","harmful","4","方向正确但结论错误"
"m3","13","m3-78863581","essential","4",""
"m3","14","m3-58003193","essential","5",""
"m3","15","m3-20051685","essential","5",""
"m3","16","m3-05014159","harmful","5",""
"m3","17","m3-96573387","harmful","5",""
"m3","18","m3-19881551","harmful","5",""
"m3","19","m3-90368667","harmful","5","没必要再算了"
"m3","20","m3-78502885","essential","5",""
"m3","21","m3-93262030","essential","5",""
"m3","22","m3-11067103","redundant","4","提出了一个小方向"
"m3","23","m3-16812358","harmful","5",""
"m3","24","m3-38957032","essential","5",""
"m3","25","m3-17233129","harmful","5",""
"m3","26","m3-21428768","essential","5",""
"m3","27","m3-63223857","harmful","5",""
"m3","28","m3-41777444","essential","5",""
"m3","29","m3-31897902","essential","5",""
"m3","30","m3-30698648","essential","5",""
"m3","31","m3-17092488","essential","3",""
"m3","32","m3-06030082","essential","5",""
"m3","33","m3-53495073","essential","5",""
"m3","34","m3-92040222","essential","5",""
"m3","35","m3-24214329","harmful","5",""
"m3","36","m3-96204032","harmful","5",""
"m3","37","m3-67439192","essential","5",""
"m3","38","m3-17715991","essential","5",""
"m3","39","m3-93353167","essential","5",""
"m3","40","m3-42836635","redundant","5",""
"m3","41","m3-51147449","harmful","5",""
"m3","42","m3-17521268","essential","4",""
"m3","43","m3-27712787","harmful","4",""
"m3","44","m3-07390848","essential","5",""
"m3","45","m3-45892105","essential","5",""
"m3","46","m3-60353562","harmful","5",""
"m3","47","m3-63162453","essential","5",""
"m3","48","m3-90638245","harmful","5",""
"m3","49","m3-69161960","harmful","5",""
"m3","50","m3-53725564","essential","5",""
"m3","51","m3-05048413","essential","3","没有具体计算但是提出了方向"
"m3","52","m3-21310748","essential","4",""
"m3","53","m3-96930186","redundant","5",""
"m3","54","m3-05783843","essential","4",""
"m3","55","m3-00434638","essential","4",""
"m3","56","m3-36955383","essential","5",""
"m3","57","m3-61008088","essential","5",""
"m3","58","m3-27558474","essential","4",""
"m3","59","m3-10992257","redundant","5",""
"m3","60","m3-33137072","harmful","5",""
"m4_fidelity","1","m4f-73502835","faithful","5",""
"m4_fidelity","2","m4f-08725155","faithful","5",""
"m4_fidelity","3","m4f-89273780","faithful","5",""
"m4_fidelity","4","m4f-87178812","faithful","5",""
"m4_fidelity","5","m4f-89738743","faithful","5",""
"m4_fidelity","6","m4f-22949710","minor_deviation","4",""
"m4_fidelity","7","m4f-93923926","faithful","5",""
"m4_fidelity","8","m4f-53259609","faithful","5",""
"m4_fidelity","9","m4f-83309801","faithful","5",""
"m4_fidelity","10","m4f-62741242","faithful","5",""
"m4_fidelity","11","m4f-96493205","faithful","5",""
"m4_fidelity","12","m4f-34430609","faithful","5",""
"m4_fidelity","13","m4f-89265054","faithful","5",""
"m4_fidelity","14","m4f-55043607","minor_deviation","4",""
"m4_fidelity","15","m4f-30539222","faithful","5",""
"m4_fidelity","16","m4f-67976580","faithful","5",""
"m4_fidelity","17","m4f-39499512","faithful","5",""
"m4_fidelity","18","m4f-68016751","faithful","5",""
"m4_fidelity","19","m4f-96452307","faithful","5",""
"m4_fidelity","20","m4f-22455250","uncertain","4","这句子不全是不是"
"m4_fidelity","21","m4f-08395956","faithful","5",""
"m4_fidelity","22","m4f-04845780","faithful","5",""
"m4_fidelity","23","m4f-25153803","faithful","5",""
"m4_fidelity","24","m4f-26798983","faithful","5",""
"m4_fidelity","25","m4f-81122780","minor_deviation","5",""
"m4_fidelity","26","m4f-09119576","minor_deviation","5",""
"m4_fidelity","27","m4f-00849091","faithful","5",""
"m4_fidelity","28","m4f-55462992","faithful","5",""
"m4_fidelity","29","m4f-57334929","faithful","5",""
"m4_fidelity","30","m4f-13085468","faithful","5",""
"m4_fidelity","31","m4f-92597738","faithful","5",""
"m4_fidelity","32","m4f-90766819","minor_deviation","5",""
"m4_fidelity","33","m4f-45577955","faithful","5",""
"m4_fidelity","34","m4f-83661842","faithful","5",""
"m4_fidelity","35","m4f-76285918","faithful","5",""
